"Course Code","Course Name","Section","Faculty","Schedule","Room"
"MIS 2218","Advanced Computer Applications in Business","D","Abdullah Al Fahad","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 524 - Computer Lab","524 - Computer Lab"
"MIS 2218","Advanced Computer Applications in Business","E (IF REQ)","TBA","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 226 - Computer Lab","226 - Computer Lab"
"ENG 1011","English I","A","Nousin Laila Bristi","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 201","201"
"ENG 1011","English I","B","Chowdhury Omar Sharif","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 201","201"
"ENG 1011","English I","C","Kirsten Gudgeon","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 201","201"
"ENG 1011","English I","D","Nousin Laila Bristi","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 201","201"
"ENG 1011","English I","E","Sadia Afrin","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 201","201"
"ENG 1011","English I","F","Sadia Afrin","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 202","202"
"ENG 1011","English I","G","TBA","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 201","201"
"ENG 1011","English I","H(IF REQ)","TBA","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 201","201"
"ENG 1013","English II","A","Umme Habiba","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 206","206"
"ENG 1013","English II","B","Umme Habiba","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 204","204"
"ENG 1013","English II","C","Tashrifa Fairuz","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 201","201"
"ENG 1013","English II","D (IF REQ)","TBA","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 301","301"
"BDS 1201","History of the Emergence of Bangladesh","A","Nazmul Huda","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 205","205"
"BDS 1201","History of the Emergence of Bangladesh","B","TBA","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 203","203"
"BUS 4201","Employability and Entrepreneurial Success","A","Md. Kazimul Hoque","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 207","207"
"BUS 4201","Employability and Entrepreneurial Success","B","Md. Kazimul Hoque","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 222","222"
"MKT 4314","Marketing Analytics","A","Muhammad Hasan Al-Mamun","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 227 - Computer Lab","227 - Computer Lab"
"FIN 4331","Financial Modeling","A","Md. Mohan Uddin","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 227 - Computer Lab","227 - Computer Lab"
"FIN 4331","Financial Modeling","B","Md. Mohan Uddin","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 227 - Computer Lab","227 - Computer Lab"
"HRM 4269","Learning and Development Management","A","Mohd. H. R. Joarder","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 210","210"
"HRM 4368","Human Resources Analytics","A","Mohammad Behroz Jalil","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 227 - Computer Lab","227 - Computer Lab"
"SCM 4103","Global Sourcing and Procurement","A","Saad Hasan","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 204","204"
"SCM 4102","Logistics Management","A","Saad Hasan","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 205","205"
"SCM 4313","Service Operation Management","SS","TBA","Schedule TBA","TBA"
"BSA 4101","Business Database System Development","A","Ahmed Imran Kabir","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 227 - Computer Lab","227 - Computer Lab"
"BSA 4101","Business Database System Development","B","Ahmed Imran Kabir","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 227 - Computer Lab","227 - Computer Lab"
"BSA 4401","Business Analytics Capstone","A","Md. Qamruzzaman","Tuesday 13:51-16:30 | 222","222"
"ACN 4238","Advanced Financial Accounting - II","A","James Bakul Sarkar","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 211","211"
"ACN 4344","Advanced Management Accounting","A","Mohammad Tariq Hasan","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 223","223"
"CST 1206","Computer Applications","A","Rukaiya Rob","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 524 - Computer Lab","524 - Computer Lab"
"CST 1206","Computer Applications","B","Md. Shariful Alam","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 226 - Computer Lab","226 - Computer Lab"
"CST 1206","Computer Applications","C","Zinnatun Nesa","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 524 - Computer Lab","524 - Computer Lab"
"CST 1206","Computer Applications","D","Rukaiya Rob","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 524 - Computer Lab","524 - Computer Lab"
"CST 1206","Computer Applications","E (IF REQ)","TBA","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 524 - Computer Lab","524 - Computer Lab"
"ECN 2111","Microeconomics","A","Musharrat Shabnam Shuchi","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 211","211"
"ECN 2111","Microeconomics","B","Tanseer Ahamed","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 205","205"
"ECN 2111","Microeconomics","C","Tasneem Jahan Tumpa","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 206","206"
"ECN 2111","Microeconomics","D","Tanseer Ahamed","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 206","206"
"ECN 2214","Macroeconomics","A","Tasneem Jahan Tumpa","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 225","225"
"ECN 2214","Macroeconomics","B","Mohammad Akhtaruzzaman","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 207","207"
"ECN 2214","Macroeconomics","C","TBA","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 206","206"
"FIN 2319","Principles of Finance","A","Md. Qamruzzaman","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 222","222"
"FIN 2319","Principles of Finance","B","Zinnatun Nesa","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 208","208"
"FIN 2319","Principles of Finance","C","Mohammad Musa","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 225","225"
"FIN 2319","Principles of Finance","D","Nusrat Farzana","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 207","207"
"FIN 2319","Principles of Finance","E","Zinnatun Nesa","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 203","203"
